物件の管理番号,備考欄（技術）,積載量/kg,点検月
"HK8-099","※インターホンブザーテスト時は病棟　施設管理室に一声かけてからテスト実施
・内階段
・警備：病棟施設管理室：警備盤有り
・駐車場：管理棟前　又は　有料P
・点検挨拶：管理棟２階　契約係/病棟施設管理室

2023/06~
点検連絡方法変更
企画課　契約係　髙城様宛にメール
E-mail:100-mb10kik8@mail.hosp.go.jp","1000","1.4.7.10"
"HK8-100","※インターホンブザーテスト時は病棟　施設管理室に一声かけてからテスト実施
・内階段
・警備：病棟施設管理室：警備盤有り
・駐車場：管理棟前　又は　有料P
・点検挨拶：管理棟２階　契約係/病棟施設管理室

2023/06~
点検連絡方法変更
企画課　契約係　髙城様宛にメール
E-mail:100-mb10kik8@mail.hosp.go.jp","1000","1.4.7.10"
"HK8-101","※インターホンブザーテスト時は病棟　施設管理室に一声かけてからテスト実施
・内階段
・警備：病棟施設管理室：警備盤有り
・駐車場：管理棟前　又は　有料P
・点検挨拶：管理棟２階　契約係/病棟施設管理室

2023/06~
点検連絡方法変更
企画課　契約係　髙城様宛にメール
E-mail:100-mb10kik8@mail.hosp.go.jp","1000","1.4.7.10"
"HK345","①駐車場　　　　　有　建物入口向かって右手の来客用駐車スペース
②入館　　　　　　フリー
③キーBOX　　　　無
④遠隔　　　　　　無
⑤警備　　　　　　有
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　有
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　リフトスポットの表示にて。
　　　　　　　　　故障対応時は現地イワキ様0126-25-5670と打ち合わせのうえ作業実施。

※最新救出訓練実施日：2023.12.11　救出訓練実施    岩城様1名","1000","1.4.7.10"
"HK9-860","①駐車場　　　　　有　現地有料駐車場　（Ｂ１Ｆ資材課にて認証可能）
②入館　　　　　　地下駐車場に入れば挨拶は入り口すぐ横
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　現地防災センター
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　ＣＣＦＬ
⑩点検連絡　　　　前月中旬に担当者南様へ送る","1000","1.4.7.10"
"HK9-861","①駐車場　　　　　有　現地有料駐車場　（Ｂ１Ｆ資材課にて認証可能）
②入館　　　　　　地下駐車場に入れば挨拶は入り口すぐ横
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　現地防災センター
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　ＣＣＦＬ
⑩点検連絡　　　　前月中旬に担当者南様へ送る","1000","1.4.7.10"
"HK-R0426","①駐車場：有
②入館：インターホン
③keybox：無
③遠隔：なし
④警備：無
⑤防カメ：無
⑥リフトスポット：無
⑧管理人：1F受付
⑨階段開放：無
⑩蛍光灯：丸30×4
⑪点検通知：TEL　011-898-3222
⑫点検条件：火木14-17","1000","1.4.7.10"
"HK8-953","敷地内見取り図参照（添付）
※現地報告書電子サイン必要！！！
地震感知器共用です。　jes検査初回時確認

警備無し
内部階段
インターホンで入館
事務所挨拶
上靴必要
エレベーター到着音なし","1000","1.4.7.10"
"HK8-954","敷地内見取り図参照（添付）
※現地報告書電子サイン必要！！！
地震感知器共用です。　jes検査初回時確認
2階特殊呼び　方向と白ボタン長押し



警備無し
内部階段
インターホンで入館
事務所挨拶
上靴必要
エレベーター到着音なし","1000","1.4.7.10"
"HK3-130","点検順番あり　真ん中　? 左（配膳）　? 右（寝台）　時間は続けて出来る","1000","1.4.7.10"
"HK7-036","警備なし、介護老人施設ゆうから入る、みどりの医院の1階受付に挨拶してから点検する
駐車場はみどりの歯科の駐車場を使う
エレベーター場所：ゆう入口より右へ行き奥のドアを開け左に行きすぐ右のドアをまっすぐ行くとみどりの医院に出る","1000","1.4.7.10"
"HK7-641","駐車場：建物来客用
階段開放：無
通知：TEL（011-823-5151）
警備：点検終了時のみ北幹にTEL（011-814-3573）
監視：キズナ
蛍光灯：LED


※内階段テンキー有(1234E)  2023.4現在","1000","1.4.7.10"
"HK1-553","駐車場：建物来客用
階段開放：無
通知：TEL（011-823-5151）
警備：点検終了時のみ北幹にTEL（011-814-3573）
監視：キズナ
蛍光灯：LED","1000","1.4.7.10"
"HK6-642","駐車場：敷地内
階段開放：無
通知：TEL（011-875-6111）
警備：無
監視：キズナ
蛍光灯：LED","1000","1.4.7.10"
"HK1-707","駐車場：現地駐車場
警備　：なし
遠隔　：キズナ

背面ドア開閉時コマンド　【開+閉（同時押し）　③・①・○（ブランク）】","1000","1.4.7.10"
"HK8-950","＠1号機は1階から見て右側　2号機左側側
@敷地内複合施設　訪問時注意　敷地内見取図　添付してあります。
※報告書電子サイン必要！！！

警備無し
内部階段
インターホンで入館
事務所挨拶
上靴必要","1000","1.4.7.10"
"HK3-129","","1000","1.4.7.10"
"HK7-215","","1000","1.4.7.10"
"HK7-707","<div>①駐車場　　　　　有（建物前駐車場）　</div><div>②入館　　　　　　フリー</div><div>③キーBOX　　　　なし（受付にてカギ借用</div><div>④遠隔　　　　　　キズナ</div><div>⑤警備　　　　　　無</div><div>⑥階段開放　　　　無　</div><div>⑦防犯カメラ　　　無</div><div>⑧リフトスポット　無</div><div>⑨蛍光灯　　　　　LED</div><div>⑩点検連絡　　　　TEL　0126-62-0770</div><div><br /></div><div>・EV機械室はEV向かって左手の老健施設内に入ってすぐ右手にあるドア内にあり。</div><!-- RICH TEXT -->","1350","1.4.7.10"
"HK1-402","①駐車場　　　　　有　A・Bタウン搬入口前スペース　
②入館　　　　　　従業員入口より入館　２３時以降は施錠されるため鍵必要
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　TEL 011-818-3015　(夜間)011-832-1722

CV250L  駐車場：　　　　　警備：
*点検指定：営業時間外(営業時間:A棟10:00～21:00/B棟10:00～23:00)
*緊急時、現地センターへ直ちに連絡のこと。tel:011-832-1722
*報告書送付先：現地
*緊急出動時、契約先への報告不要！契約先報告時は営業担当の承認必須！
*EV/3ヶ月1回プライム・ES/毎月1回プライムライト
※LED：売切(2021.11.19～)","1600","1.4.7.10"
"HK1-403","①駐車場　　　　　有　A・Bタウン搬入口前スペース　
②入館　　　　　　従業員入口より入館　２３時以降は施錠されるため鍵必要
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　TEL 011-818-3015　(夜間)011-832-1722

CV250L  駐車場：　　　　　警備：
*点検指定：営業時間外(営業時間:A棟10:00～21:00/B棟10:00～23:00)
*緊急時、現地センターへ直ちに連絡のこと。tel:011-832-1722
*報告書送付先：現地
*緊急出動時、契約先への報告不要！契約先報告時は営業担当の承認必須！
*EV/3ヶ月1回プライム・ES/毎月1回プライムライト
※LED：売切(2021.11.19～)","1600","1.4.7.10"
"HK2-151","","1600","1.4.7.10"
"HK2-152","","1600","1.4.7.10"
"HK2-156","","1600","1.4.7.10"
"HK2-157","","1600","1.4.7.10"
"HK8-837","<div><font size=""4"">三菱日立　VFFS
</font></div><div>?</div><div><font size=""4"">・駐車場　建物前
</font></div><div><font size=""4"">・内階段
</font></div><div><font size=""4"">・カゴ内電話器有り</font></div><div><font size=""4"">・警備無
</font></div><div><font size=""4"">・点検連絡:現地　ホーム長</font></div><div>?</div><div><font size=""4"">

ドアタイム
カゴ呼:10sec
乗場呼:10sec
セフティシューリオープン:10sec
開ボタンリオープン:180sec
</font></div><div>?</div><div><font size=""4"">
カゴ内LED照明</font></div><!-- RICH TEXT -->","200","1.4.7.10"
"HK10-580","<div><font size=""4"">駐車場：敷地内借用</font></div><div><font size=""4"">階段開放：無?</font></div><div><font size=""4"">通知：TEL（わたなべ様080-9613-8999 ）</font></div><div><font size=""4"">警備：無?</font></div><div><font size=""4"">監視：直話?</font></div><div><font size=""4"">蛍光灯：?</font></div><!-- RICH TEXT -->","200","1.4.7.10"
"HK3-146","<div>EVブレーカーは1階事務所内壁の分電盤(INT上に有)                          
COP  1Fホール釦操作SW無し！</div><div>
蛍光灯：60W電球×2 100v 電球色
</div><div>点検通知：現地TEL　011863-8812　主にPM</div><div>駐車場：現地</div><div>■JPM認定物件　認定番号：JPM-230195　有効期間：2023/7/14～2025/7/31　【連続取得物件　旧認定番号：JPM-21050】</div><!-- RICH TEXT -->","200","1.4.7.10"
"HK1-649","<div>M(クマ小荷物)　</div><div>
駐車場：敷地内
点検月　1.4.7.10　POG</div><div>
鍵：現地借用
　
</div><div>点検連絡：TELでOK。店長又はチーフに連絡する。
点検指定：～11：00頃までに終了する。AM8時ぐらいに清掃の方が来るので入室可。従業員の方は、AM10:00ぐらいに来るので、挨拶はそのときでいい。
【</div><div>契約先名変更】(株)梨湖観光→梨湖フーズ(株)(H26.3～)
2019年3月に改装工事入り2階の床が高くなりレベル限界値まで調整</div><!-- RICH TEXT -->","200","1.4.7.10"
"HK-R0196","<div>①駐車場：有
②入館：インターホン
③keybox：無
③遠隔：無
④警備：無
⑤防カメ：無
⑥リフトスポット：無
⑧管理人：1F受付
⑨階段開放：無
⑩蛍光灯：
⑪点検通知：TEL　011-386-3000
⑫点検条件：無</div><div>入口暗唱：54321?</div><!-- RICH TEXT -->","200","1.4.7.10"
"HK3-293","①駐車場　　　　　有　現地駐車スペース　
②入館　　　　　　インターホンにて開けてもらう
③キーBOX　　　　無
④遠隔　　　　　　無
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　FL20×1
⑩点検連絡　　　　TEL　0126-26-6280","200","1.4.7.10"
"HK-R0836","①駐車場：路駐
②入館：無
③keybox：無
③遠隔：無
④警備：無
⑤防カメ：無
⑥リフトスポット：無
⑧管理人：３Fテナント
⑨階段開放：無
⑩蛍光灯：
⑪点検通知：TEL　011-896-0800
⑫点検条件：16-17時半","200","1.4.7.10"
"HK6-488","のり愛号(UCMP付)(2停)　　　駐車場所：現地駐車場、警備：無、外部階段解放：無、挨拶：現地

遠隔監視：無、入館：フリー、契約：POG、点検月：1・4・7・10、客先INT：かご内電話

点検時間：指定無　　　レポート後日郵送　サイン無し

点検連絡：現地TEL：011-891-2405
 
智徳寺とペアで点検
ブレーカー：1階エレベータ横、機械室内、分電盤(1L-1)

製造番号R14971-297644見積回答で追記

■JPM認定物件　認定番号：JPM-20074　有効期間：2020/7/7～2022/7/31","200","1.4.7.10"
"HK7-816","従業員用入口インターホンで挨拶
2階乗場より脚立で機械室へ、鍵開いてます。
警備無し
内部階段","200","1.4.7.10"
"HK3-292","暗証　無
挨拶　インターホンにて入館
警備　無
駐車場　道路沿い駐車スペース
階段解放　無
インターホンテスト　客先に一声かける","200","1.4.7.10"
"HK9-334","駐車場：敷地内邪魔にならない所
挨拶：インターホン　正面入り口横 事務室
EV位置：建物中央　2号機正背面　小荷物1号機真裏（クリーンルーム内）
2号機暗証有 1階背面（１-点滅-1を3回）（4-点滅-４を3回）他は無し
2号機点検始める前に厨房に挨拶すると良い
INT位置：事務室内（発報テスト時は事務室に声掛け）




★点検に関して
点検日時：2号機(正背面あり)平日11-12、13-14、16：30～は不可
他2台は、2号機の時間に合わせて点検実施してください。
　
※部品交換延期した際に客先からクレームが入ったので、部品交換日程が確定したら必ず厳守すること。","200","1.4.7.10"
"HK8-951","＠1号機は1階から見て右側　2号機左側側
@敷地内複合施設　訪問時注意　敷地内見取図　添付してあります。
※報告書電子サイン必要！！！

警備無し
内部階段
インターホンで入館
事務所挨拶
上靴必要","200","1.4.7.10"
"HK8-952","＠1号機は1階から見て右側　2号機左側側
@敷地内複合施設　訪問時注意　敷地内見取図　添付してあります。
※報告書電子サイン必要！！！

警備無し
内部階段
インターホンで入館
事務所挨拶
上靴必要","200","1.4.7.10"
"HK8-955","＠1号機は1階から見て右側　2号機左側側
@敷地内複合施設　訪問時注意　敷地内見取図　添付してあります。
※報告書電子サイン必要！！！

警備無し
内部階段
インターホンで入館
事務所挨拶
上靴必要","200","1.4.7.10"
"HK8-956","＠1号機は1階から見て右側　2号機左側側
@敷地内複合施設　訪問時注意　敷地内見取図　添付してあります。
※報告書電子サイン必要！！！

警備無し
内部階段
インターホンで入館
事務所挨拶
上靴必要","200","1.4.7.10"
"HK3-193","","200","1.4.7.10"
"HK1-404","①駐車場　　　　　有　A・Bタウン搬入口前スペース　
②入館　　　　　　従業員入口より入館　２３時以降は施錠されるため鍵必要
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　TEL 011-818-3015　(夜間)011-832-1722

CV250L  駐車場：　　　　　警備：
*点検指定：営業時間外(営業時間:A棟10:00～21:00/B棟10:00～23:00)
*緊急時、現地センターへ直ちに連絡のこと。tel:011-832-1722
*報告書送付先：現地
*緊急出動時、契約先への報告不要！契約先報告時は営業担当の承認必須！
*EV/3ヶ月1回プライム・ES/毎月1回プライムライト
※LED：売切(2021.11.19～)","2000","1.4.7.10"
"HK1-405","①駐車場　　　　　有　A・Bタウン搬入口前スペース　
②入館　　　　　　従業員入口より入館　２３時以降は施錠されるため鍵必要
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　TEL 011-818-3015　(夜間)011-832-1722

テクノエレベーター  駐車場：　　　　　警備：
*点検指定：営業時間外(営業時間:A棟10:00～21:00/B棟10:00～23:00)
*緊急時、現地センターへ直ちに連絡のこと。tel:011-832-1722
*報告書送付先：現地
*緊急出動時、契約先への報告不要！契約先報告時は営業担当の承認必須！
*EV/3ヶ月1回プライム・ES/毎月1回プライムライト
※LED：売切(2021.11.19～)","2000","1.4.7.10"
"HK6-352","<div>VFDR　</div><div>駐車場：1階屋内駐車場 </div><div>
警備：なし </div><div>
外部開放：不要</div><div>
蛍光灯：LED</div><div>
鍵：1階階段扉
</div><div>点検通知：現地TEL　011-864-7927　水曜15：00～</div><div>

※LED：売切(H30.12.21～)
■JPM認定物件　認定番号：JPM-230253　有効期間：2023/7/26～2025/7/31 【旧認定番号：JPM-20072】</div><!-- RICH TEXT -->","300","1.4.7.10"
"HK3-278","<div>駐車場：空いているところ　　　</div><div>
警備：無し　　　</div><div>
挨拶及び鍵：2階テナント</div><div>
点検通知：現地TEL　011-873-8828その後管理会社にもTEL011-711-2580
FL10×2（7月）</div><!-- RICH TEXT -->","300","1.4.7.10"
"HK-R0427","①駐車場：有
②入館：インターホン
③keybox：無
③遠隔：無
④警備：無
⑤防カメ：無
⑥リフトスポット：無
⑧管理人：1F受付
⑨階段開放：無
⑩蛍光灯：無
⑪点検通知：TEL　011-898-3222
⑫点検条件：火木14-17","300","1.4.7.10"
"HK3-270","駐車場:敷地内
鍵:入口すぐの事務所で鍵借用
報告書:現地不要サイン無し　後日郵送
夜間入館不可
建物奥の厨房の中に1階乗場
建物奥の階段上って2階の厨房に2階乗場
機械室は脚立要す、2階乗場から行ける。","300","1.4.7.10"
"HK7-037","駐車場　みどりの歯科の駐車場を使用
建物　介護老人施設ゆうから入る
インターホンにて入館
1階は入口右の厨房にあり
2階3階はみどりの医院のエレベーターから乗場が繋がっているため行ける","300","1.4.7.10"
"HK454","駐車場：ゴミステーション前No1
階段開放：無
通知：現地FAX（１週間前）
警備：無
監視：プライム直話２
蛍光灯：LED

2024/4/1~停止故障等の発生時、日本ハウズイングへ連絡
夜間休日番号　TEL)06-6885-3056 ※札幌本店、南支店ともに共通番号となります<!-- RICH TEXT -->","300","1.4.7.10"
"HK1-645","駐車場：現地借用
階段開放：無
通知：TEL（011-821-6160）
警備：無
監視：無
蛍光灯：無


※入室時、１F入口横ロッカー内の白衣とキャップを借用し、手洗い実施。長靴は各階の来客用を借用","300","1.4.7.10"
"HK1-646","駐車場：現地借用
階段開放：無
通知：TEL（011-821-6160）点検指定：15:00～指定  曜日は平日ならOK
警備：無
監視：無
蛍光灯：無
挨拶:インターホンにて業者用を使用
※入室時、１F入口横ロッカー内の白衣とキャップを借用し、手洗い実施。長靴は各階の来客用を借用　
シャッター側から入って最下階作業時は白衣着用しなくても良いみたい","300","1.4.7.10"
"HK10-261","","300","1.4.7.10"
"HK10-262","","300","1.4.7.10"
"HK10-263","","300","1.4.7.10"
"HK7-217","","300","1.4.7.10"
"HK9-292","","300","1.4.7.10"
"HK9-823","2024/8/1~停止故障等の発生時、日本ハウズイングへ連絡 夜間休日番号　TEL)06-6885-3056 ※札幌本店、南支店ともに共通番号となります<!-- RICH TEXT -->","450","1.4.7.10"
"HK9-824","2024/8/1~停止故障等の発生時、日本ハウズイングへ連絡 夜間休日番号　TEL)06-6885-3056 ※札幌本店、南支店ともに共通番号となります<!-- RICH TEXT -->","450","1.4.7.10"
"HK8-838","<div><font size=""4"">日立　UA-03
</font></div><div>?</div><div><font size=""4"">・駐車場　入口横
</font></div><div><font size=""4"">・内階段
</font></div><div><font size=""4"">・警備無し
</font></div><div><font size=""4"">・アルプ無し
</font></div><div><font size=""4"">・ブレーキ開放リモコン：ピット
</font></div><div><font size=""4"">・インターホン　2階事務所内</font></div><div>?</div><div><font size=""4"">・カゴ上手動リモコン無し</font></div><!-- RICH TEXT -->","450","1.4.7.10"
"HK8-533","<div><font size=""4"">駐車場：建物裏口横来客用No10使用（点検中ラミネート掲示要）2台目以降は有料駐車場
</font></div><div><font size=""4"">階段開放：無
</font></div><div><font size=""4"">通知：FAX（011-866-3974）
</font></div><div><font size=""4"">警備：セントラル（011-700-2700）点検後リセット必要</font></div><div><font size=""4"">　10の位１回押す。1の位1回押す。表示11の状態でリセットボタン押す</font></div><div><font size=""4"">
監視：キズナ</font></div><div><font size=""4"">
蛍光灯：LED
</font></div><div>?</div><div><font size=""4"">
※非常にシビアな理事長の為要注意。
※暗証番号入力時住人に見られないように注意必要</font></div><!-- RICH TEXT -->","450","1.4.7.10"
"HK8-532","<div><font size=""4"">駐車場：建物裏口横来客用No10使用（点検中ラミネート掲示要）2台目以降は有料駐車場</font></div><div><font size=""4"">
階段開放：無</font></div><div><font size=""4"">
通知：FAX（011-866-3974）及びリフトスポット</font></div><div><font size=""4"">
警備：セントラル（011-700-2700）点検後リセット必要　</font></div><div><font size=""4"">10の位１回押す。1の位1回押す。表示11の状態でリセットボタン押す
</font></div><div><font size=""4"">監視：キズナ
</font></div><div><font size=""4"">蛍光灯：LED</font></div><div><font size=""4"">

※非常にシビアな理事長の為要注意。
※暗証番号入力時住人に見られないように注意必要</font></div><!-- RICH TEXT -->","450","1.4.7.10"
"HK3-328","<div><font size=""4"">駐車場：玄関前
</font></div><div><font size=""4"">階段開放：無 </font></div><div><font size=""4"">
警備：なし</font></div><div><font size=""4""> 
通知：貼紙</font></div><div><font size=""4"">
監視：キズナ
</font></div><div><font size=""4"">蛍光灯FL20×4　4月
</font></div><div><font size=""4"">
【2025.2.26~】
㈱ビッグ及び㈱アクティブ物件に関して、緊急時部品交換が必要な場合
011-552-3311に確認を取ってから進める（鳥井次長・大湯主任担当案件）</font></div><!-- RICH TEXT -->","450","1.4.7.10"
"HK056","<div><font size=""4"">駐車場：管理人確認</font></div><div><font size=""4"">
階段開放:無
</font></div><div><font size=""4"">通知:全体FAX及び現地FAX011-866-2447. 時間指定AM
</font></div><div><font size=""4"">警備：
（東急コミュニティー0570-06-2109 建物番号：010261　1290＃　04＃）2024,12自動受付不要
</font></div><div><font size=""4"">監視:キズナ
</font></div><div><font size=""4"">蛍光灯：LED
　
</font></div><div><font size=""4"">
※点検終了後レポートFAX
※故障時緊急管理センターTEL011-555-2593
*緊急出動報告書は即日提出が必要。CRCからも漏れが生じぬよう、FAX送信を促す。
ピットに湧水等、発生した場合は写真を　佐藤　匠吾様　宛て　tel 090-6874-6902   後、メール　shogo-sato@tokyu-com.co.jpまで</font></div><!-- RICH TEXT -->","450","1.4.7.10"
"HK057","<div><font size=""4"">駐車場：管理人確認</font></div><div><font size=""4"">
階段開放:無
</font></div><div><font size=""4"">通知:全体FAX及び現地FAX011-866-2447. 時間指定AM
</font></div><div><font size=""4"">警備：
（東急コミュニティー0570-06-2109 建物番号：010261　1290＃　04＃）2024,12自動受付不要</font></div><div><font size=""4"">
監視:キズナ
</font></div><div><font size=""4"">蛍光灯：LED
　
</font></div><div><font size=""4"">
※点検終了後レポートFAX
※故障時緊急管理センターTEL011-555-2593
*緊急出動報告書は即日提出が必要。CRCからも漏れが生じぬよう、FAX送信を促す。
ピットに湧水等、発生した場合は写真を　佐藤　匠吾様　宛て　tel 090-6874-6902   後、メール　shogo-sato@tokyu-com.co.jpまで</font></div><!-- RICH TEXT -->","450","1.4.7.10"
